m-3AAr: e-9999 
m-5AAr: e-6 
m-4AC: o-9 
m-6AA: o-13 
m26AG: e1 e60 
m7AEr: e5 o-45 
m-21AF: e11 e42 
R-5m-10AG: e15 o-9 
m-11AD: e23 e-9999 
m-10ABr: e35 o-4 
m-3AD: e35 e-17 
m-18AC: e36 e22 
m-33ACr: e9999 e17 o37 
m-12AFr: e9999 e29 e0 
m2ABr: e9999 e58 e39 
m8AA: e1 e23 e8 
m0ABr: e1 e23 o11 
m15AD: e1 e38 e26 
R12m26AG: o1 o39 o12 
L15m26AG: e1 e56 e-30 
m-13AAr: e4 e9999 e20 
m-8AA: e4 e9999 e24 
m-13AD: e5 o-17 e-28 
R-9m7AEr: e5 e-30 o4 
R-8m7AEr: e5 e-32 e15 
L-17m7AEr: e5 e-38 e7 
L-1m7AEr: e5 e-50 e-51 
m6AE: o-7 o-11 e-8 
m0AA: o-7 o-11 o-13 
m2AC: o-7 o-29 o-53 
m-2ABr: e15 e2 e9999 
m-7AF: e15 e2 e5 
m-7ACr: e15 e2 o1 
L-12m2AC: o19 o32 e26 
L-41m-20ABr: e19 e33 e55 
m-16AC: e19 e33 e-5 
m9AAr: e19 o29 o14 
m-5AB: e19 o29 o38 
L-25m-2AC: e19 o33 o-29 
L-25m10AFr: e19 o33 o-33 
L-25m-6AA: e19 o33 o-45 
L-25m6AFr: e19 o33 e-54 
m-13ACr: e23 e13 e9999 
m-21AAr: e23 e26 o-15 
m-1AD: e24 e24 e13 
m2AA: e24 e24 o-6 
m-14AG: e26 e-9999 e4 
m-20AA: e26 e-26 e15 
m-18ADr: e26 e36 e28 
m-23AEr: e26 e36 e35 
m-12ABr: e26 e36 e56 
m-10AC: e29 e19 e4 
m-3AF: e29 e19 e-4 
m-12ADr: e29 e23 e9 
m-8ABr: e29 e28 e9999 
m-6AC: e29 o2 o7 
R-8m-6AC: e29 o-14 o-39 
m-2AE: e29 e-25 e33 
m-4AA: e32 e8 e15 
m4AE: e33 o32 e21 
m3AF: e33 o32 e23 
m9AGr: e35 e-2 e-16 
R-4m-6ADr: o35 e-3 o-5 
m6AG: e35 o-3 o17 
L-14m-4AC: o35 e-8 e-17 
m-16AG: e35 o-12 e9999 
m1AF: e36 e30 e1 
m-5AF: e38 e-9999 o0 
R-5m7AGr: o19 o53 e5 e48 o-9999 
R-5m2ADr: o19 o53 e5 e53 o-33 
R-5m2ABr: o19 o53 e5 e56 o20 
R-5m-1AB: o19 o53 e5 e56 o21 
R-5m10ADr: o19 o53 e5 e56 o31 
R-5m-1AGr: o19 o53 e5 e56 o36 
R-5m-17AF: o19 o53 e16 e38 o52 
L7m0ADr: o19 e25 o9999 o22 e1 
L7m-11AAr: o19 e25 o9999 o58 e20 
L7m-18AG: o19 e25 o7 o26 e49 
L7m4AA: o19 e25 e-9 e9 o1 
L7m-4ADr: o19 e25 e-9 e9 o8 
L7m-18AE: o19 e25 o13 e-11 o14 
L7m-24ABr: o19 e25 o13 o-55 o3 
R15m2ADr: e19 o29 e2 o-13 e36 
R28m15AB: o19 e29 o28 e-59 o9999 
R25m9AGr: e19 o29 o1 e9999 e17 
L-25m-11ACr: e19 o33 e-32 e2 e-9999 
L-25m-2ADr: e19 o33 e-34 e-9999 e31 
L-25m5AB: e19 o33 e-34 e-9999 o16 
L-25m14ADr: e19 o33 e-38 o-9999 e0 
L-25m-13AB: e19 o33 e-38 o-1 o28 
L-25m-16ABr: e19 o33 o-41 o-21 o-29 
L-25m-3AEr: e19 o33 o-41 o-23 o-13 
L-25m-12AC: e19 o33 o-41 o-23 o7 
L-25m-13ACr: e19 o33 o-41 e-30 e34 
L-25m-6ADr: e19 o33 o-41 e-30 e53 
L-25m-8AC: e19 o33 o-41 o-47 o36 
L-25m-23AAr: e19 o33 e-44 e2 o-58 
L-25m-22ADr: e19 o33 e-44 e2 o-60 
L-25m0ABr: e19 o33 e-44 e-10 o-33 
L-25m-3AB: e19 o33 e-44 o-13 o-1 
L-25m-8ADr: e19 o33 e-44 o-17 o-18 
L-25m-18AA: e19 o33 e-44 o-21 e5 
L-25m-12ABr: e19 o33 e-44 o-47 e9999 
L-25m-12AA: e19 o33 e-44 o-53 e1 
L-25m-20ADr: e19 o33 e-44 o-53 e8 
L-25m4AC: e19 o33 e-50 e10 e9999 
L-25m2AE: e19 o33 e-50 e48 o24 
L-16m-21AGr: e23 e8 o-15 e9 e9999 
L-16m-24AFr: e23 e8 o-15 e9 e0 
L-10m-13AEr: e23 e10 e-9999 e20 o-20 
R-3m5AB: o23 o13 e-1 o-8 e-13 
R-35m-20AE: o23 o26 o7 e26 o-9999 
R-21m-35AD: o23 o26 e-7 o9999 o15 
R-21m-38AA: o23 o26 e-7 e-1 e58 
R-21m-37AD: o23 o26 e-7 e-1 e60 
R-19m-2AG: o23 o31 o-9999 o44 o12 
L-23m-36AFr: e23 e31 o-13 e-4 e9999 
L2m-5AGr: e23 e31 e-22 o51 e0 
R-22m-6ADr: o23 o33 o-19 e-3 o-32 
R-22m-13AEr: o23 o33 o-19 o20 e-20 
L-12m-6ADr: e23 e33 e-23 o-3 e-32 
L-12m-13AEr: e23 e33 e-23 e20 o-20 
R-30m-28ABr: e23 e33 o45 o-15 e9999 
R-49m-37ACr: o23 o33 e45 o41 o1 
L-18m-23AGr: e24 e11 o-15 e9 e9999 
L-18m-26AFr: e24 e11 o-15 e9 e0 
R-14m-18AE: o24 o12 e-7 e-22 o36 
R-5m-27ACr: e24 e13 o-13 e-2 e1 
R-5m-17AEr: e24 e13 o-13 o-31 e1 
R-23m-5AF: e24 e18 o-9 o-33 e-22 
L-4m-3ACr: e24 e18 o-15 e10 e1 
L-4m9AD: o24 o24 e-4 e-37 o2 
R3m-7ACr: o24 o24 e-16 o29 o5 
L-13m5AEr: o24 o24 e36 e-22 o0 
R-15m-4AE: o24 o33 o-57 o24 e-1 
R5m-3AGr: e24 e35 o16 e-30 e3 
R5m-10AA: e24 e35 o16 o-51 e55 
L-25m-7AB: o24 o35 e-50 o4 e-1 
L-21m-20ABr: o26 o-9999 o34 o10 o20 
L-21m-23AB: o26 o-9999 o34 o10 o21 
L-21m-12ADr: o26 o-9999 o34 o10 o31 
L-21m-23AGr: o26 o-9999 o34 o10 o36 
R-5m-19AEr: o26 o-9999 o53 o9 o9999 
R-5m-15ACr: o26 o-9999 o53 o20 o9999 
R-17m-11ACr: e26 e6 o-9 o-49 o-13 
L1m-5ACr: o26 o-6 e-11 o9 o9999 
R-9m-8AA: o26 o-12 e-7 e-3 e-3 
R-14m-2AA: e26 e-12 o19 o-5 e-2 
L-24m0ADr: o26 e-13 e-7 o18 o56 
L7m-6AE: e26 o-13 e40 o-23 e-9999 
L7m-12AA: e26 o-13 e40 o-23 e-6 
L7m-14AA: e26 o-13 e40 o-23 e20 
L7m-11AB: e26 o-13 e40 o-23 e-22 
L7m-1AEr: e26 o-13 e40 e-30 e-9999 
L7m-13ACr: e26 o-13 e40 o-35 e9999 
L7m-8ADr: e26 o-13 e40 e-36 e-12 
L7m-21AAr: e26 o-13 e40 e-38 e-58 
L7m-20ADr: e26 o-13 e40 e-38 e-60 
L7m-1AB: e26 o-13 e40 o-55 o-1 
L-17m6AA: e26 o-13 e45 o-9999 e7 
L-17m3AD: e26 o-13 e45 o-9999 e10 
L-17m-4AE: e26 o-13 e45 e59 o9999 
L-17m-4ADr: e26 o-13 e45 o56 e0 
L-20m-37AAr: o26 o-26 o7 o1 e-58 
L-20m-36ADr: o26 o-26 o7 o1 e-60 
L-34m-19AEr: o26 o-26 e-7 e-26 o9999 
R-22m-5AB: e26 e30 o-13 e14 o30 
R-25m-10AG: e26 e30 o-13 e20 o33 
R-28m10ABr: o26 e-31 o14 e11 e-9999 
L-23m-14AG: e26 o-31 e17 e5 e4 
L-26m-9AAr: e26 o-31 e17 e20 e-22 
L8m-5ACr: o26 e-31 o22 o-35 o6 
L8m0AE: o26 e-31 o22 o-35 e-15 
L8m-7AB: o26 e-31 o22 o-35 e-41 
L8m-5AAr: o26 e-31 o22 o-35 o-44 
R-17m-14AG: o26 e-31 o23 o-44 o4 
R10m-40ADr: e26 e32 e30 e20 o-9999 
R10m-36AE: e26 e32 e30 e22 e9999 
R10m-34ABr: e26 e32 e30 e28 e50 
R10m-49ACr: e26 e32 e30 e34 e9999 
R10m-40AC: e26 e32 e30 e40 e0 
R10m-46AC: e26 e32 e30 e40 o8 
R10m-51AAr: e26 e32 e30 e40 o10 
R10m-44ADr: e26 e32 e30 e47 o-9 
R10m-51AD: e26 e32 e30 e47 e-40 
R-14m-11ACr: o26 o32 o32 o-40 o0 
R-7m1AGr: o26 o34 o-4 o1 o8 
R-7m-22AA: o26 o34 o-4 o1 o24 
R-26m0ABr: o26 o36 o8 e-3 e-3 
R-26m21AEr: o26 o36 o8 e-3 o25 
R-26m-5ACr: o26 o36 o8 e-9 o-9999 
R-26m2AC: o26 o36 o8 e-9 o13 
R-26m-18AA: o26 o36 o8 e-13 e58 
R-26m-17AD: o26 o36 o8 e-13 e60 
R-26m-1AEr: o26 o36 o8 o-14 e-9999 
R-26m-4AG: o26 o36 o8 o-28 o9999 
R-26m-3ACr: o26 o36 o8 e-31 o9999 
R-26m4AC: o26 o36 o8 o-34 o9999 
L-33m10AG: e26 e36 e-16 e-21 e-2 
R-22m-14ABr: e26 e36 e-24 e20 e9999 
R-22m-7AB: e26 e36 e-24 e22 e-17 
R-22m-12AA: e26 e36 e-24 e27 e15 
R-22m-6AA: e26 e36 e-24 e31 e-8 
R-22m-15AGr: e26 e36 e-24 e35 e0 
R-22m-17AGr: e26 e36 e-24 e36 e9999 
R-22m-20AFr: e26 e36 e-24 e36 e0 
R-22m-30ADr: e26 e36 e-24 e44 e-8 
R-2m4ADr: e26 e36 e-26 o0 e-52 
L-13m-34AA: o26 o36 o37 o32 o9999 
L-13m-35AAr: o26 o36 o37 o32 o6 
L-13m-42AA: o26 o36 o37 o32 o15 
L-13m-37AAr: o26 o36 o37 o32 o20 
R-34m10AG: o26 o36 o-38 o46 o51 
L-25m-17AAr: o26 o36 o-46 o-14 e26 
L-25m7AF: o26 o36 o-46 o35 o0 
R-24m10AG: e26 e36 e-50 o-19 e21 
L-22m-21AEr: e26 e36 e51 o-3 o-9999 
L-17m10AG: e26 e36 e-15 e0 e-12 
R-18m2ADr: e29 e-9999 e-9999 e55 e9999 
R-18m3AB: e29 e-9999 e-9999 e55 o-27 
L-8m0AG: e29 e-9999 e20 o55 o-3 
R-1m-7AAr: e29 o-9999 o-19 e36 e53 
R-12m-6ADr: e29 e13 o6 e10 e9999 
R-12m-6AA: e29 e13 o6 e10 e-8 
L-6m9AB: e29 e14 e0 o-33 e0 
L-15m-6AFr: e29 e14 e3 e-31 o-28 
R-11m-11ACr: o29 o14 e-2 e-4 e-9999 
L-21m9AB: o29 o14 o-5 o-46 o9999 
L-10m6ABr: e29 e14 o7 o9999 e10 
R2m14AFr: o29 o14 e13 o5 o-14 
L-5m-1AD: o29 o14 o-19 e-48 o-4 
L-5m-23AEr: o29 o14 o-19 e-48 o-6 
R0m6AG: o29 o19 o15 o2 o-9999 
R0m3AF: o29 o19 o15 o2 o-12 
R-19m-10ABr: e29 e29 e2 e-15 e46 
L-14m-19AGr: e29 e29 o-15 e9 e9999 
L-14m-22AFr: e29 e29 o-15 e9 e0 
R-21m-16AG: o29 o29 e-19 o-32 o-12 
R-28m-19AGr: o29 o47 o54 o4 o0 
L-16m-8AG: o29 o48 e-3 o12 e19 
L-36m-12AFr: o29 o51 o8 e17 o28 
R-20m-15AD: e29 e51 e19 o-2 e9999 
L-6m16ADr: o29 o-3 e17 o-11 o9999 
L-29m-6AE: e29 e-3 e-35 o-46 o-35 
R-8m-14ABr: e29 o-14 e-9999 e-9999 o4 
R-8m-13AEr: e29 o-14 e-9999 e-9999 o24 
R-8m-20ADr: e29 o-14 e-9999 o44 o-24 
R-8m-24AE: e29 o-14 e-9999 o48 o9999 
R-8m-32AFr: e29 o-14 e-2 e0 o-5 
R-8m-33ACr: e29 o-14 e-2 e0 e-18 
R-8m-32AA: e29 o-14 e-2 e0 o-25 
R-8m-9AD: e29 o-14 o-7 e1 e18 
R-8m-27AGr: e29 o-14 o-7 o-1 e-20 
R-8m-2AC: e29 o-14 e-10 e0 o9 
R-8m-31AAr: e29 o-14 o-15 e39 o-9999 
R-8m-34AA: e29 o-14 o-15 e39 o-12 
R-8m-32AG: e29 o-14 o-15 e57 e4 
R-8m-1AAr: e29 o-14 e-18 e-28 e-9999 
R-8m-3AEr: e29 o-14 e-44 o-3 e54 
R-8m10AG: e29 o-14 e-44 o-45 e44 
R-8m-10ABr: e29 o-14 e-50 e-12 e20 
R-8m-13AB: e29 o-14 e-50 e-12 e21 
R-8m-2ADr: e29 o-14 e-50 e-12 e31 
R-8m-13AGr: e29 o-14 e-50 e-12 e36 
R-8m-14ADr: e29 o-14 e-50 e-9 e-30 
R-8m-6AA: e29 o-14 e-50 o-12 e-9999 
R-8m-19ACr: e29 o-14 o1 o-9999 e26 
R-8m4AC: e29 o-14 o1 e-21 e7 
R-8m-1ACr: e29 o-14 o1 o-24 e-14 
R-8m-12AC: e29 o-14 o1 o-36 e39 
R-8m-3AB: e29 o-14 o1 e-51 e-9999 
L-28m-8ABr: o29 e-14 e45 e-49 o-2 
L-5m-12AC: o29 o-21 o32 o-37 o-9999 
L-5m-21AF: o29 o-21 o32 o-37 o23 
L-15m-11AF: o29 o-25 o6 o24 o59 
R-9m-14AG: e29 e-25 e27 e-9999 e4 
R-9m-11ACr: e29 e-25 e27 e25 e-50 
R-9m-18AC: o29 o-25 o-25 o-18 o-56 
R-9m-18ADr: o29 o-25 o-25 e-33 o1 
L-24m-13AEr: o30 o12 o-6 o-9999 o-34 
L0m-25AEr: o30 e13 e-33 o-46 e-15 
R-24m-30AFr: e30 o13 e37 o49 o-21 
R-35m-20AG: o30 e23 o50 o-32 o-9999 
R-35m-23AF: o30 e23 o50 o-32 o0 
R-35m-41ACr: o30 e23 o50 e-53 o18 
R-49m-35AAr: o30 e23 e15 e-7 o-14 
R-35m-27AAr: e30 o23 o50 o-44 e9999 
R-35m-30AE: e30 o23 o50 e-45 e2 
L-7m2AA: e32 e5 e-9999 e-9999 e0 
L-7m8AC: e32 e5 e2 e-9999 e-27 
L-7m-2AFr: e32 e5 e2 e-2 o11 
L-7m-3ACr: e32 e5 e2 e8 e3 
L-7m-1AD: e32 e5 e2 e8 o-30 
L-7m4ABr: e32 e5 e2 e15 e9999 
L-7m4AC: e32 e5 e2 e17 e9999 
L-7m11ACr: e32 e5 e2 o4 e9999 
L-7m21AF: e32 e5 e2 o4 e-26 
L-7m12AG: e32 e5 e2 o13 e9999 
L-7m0AA: e32 e5 e3 o-9999 o-12 
L-7m-19ACr: e32 e5 o-3 e4 o9999 
L-7m2AC: e32 e5 o-3 e4 e0 
L-7m2ABr: e32 e5 o-3 e5 e21 
L-7m-18AC: e32 e5 o-3 e8 o-41 
L-7m-8ABr: e32 e5 o-3 e34 e9999 
L-7m-5AB: e32 e5 o-3 e35 e-16 
L-7m-4AC: e32 e5 e-4 e-9999 e0 
L-7m-7ACr: e32 e5 e-4 e0 e11 
L-7m-10AFr: e32 e5 o-5 e32 e22 
L-7m-14AE: e32 e5 o-5 e32 e38 
L-7m-7AGr: e32 e5 o-5 e32 e39 
L-7m-12AFr: e32 e5 o-5 e34 o2 
L-7m0AC: e32 e5 o-5 e42 e24 
L-7m1AD: e32 e5 o-5 e47 e18 
R-11m-6AFr: e32 e6 o-15 e44 e5 
R-41m6ABr: o32 o6 o21 o2 o12 
R-41m-10ABr: o32 o6 o21 o-2 e-10 
R-41m-20AG: o32 o6 o21 o-2 o-19 
R-41m-10ADr: o32 o6 o21 o3 o1 
L-10m-4AA: o32 o8 o-9999 e35 e28 
L-22m-4AA: o32 o8 o-9999 e58 o-9999 
L-19m-4AA: o32 o8 o7 e-18 o10 
L-26m-5AEr: o32 o-8 o42 o32 o24 
L-10m-29ACr: e32 e-12 e42 e9999 e3 
L-10m-33AGr: e32 e-12 e42 e-2 e-5 
L-10m-22AC: e32 e-12 e42 e-6 o-7 
L-10m-27ACr: e32 e-12 e42 e16 o-3 
L-10m-27AAr: e32 e-12 e42 e29 e-4 
L-10m-45AAr: e32 e-12 e42 e29 e-6 
L-10m-42AC: e32 e-12 e42 e32 e-6 
L-10m-36AE: e32 e-12 e42 e32 e-8 
L-10m-40AFr: e32 e-12 e42 e32 e53 
R-18m-19AF: o32 o16 o0 e-14 o23 
R-26m-3AEr: e32 e-16 e12 o38 e0 
L-7m5AAr: e32 o-19 o0 e5 e-18 
L-7m4ADr: e32 o-19 o0 e58 e0 
L-4m-7AEr: e32 o-19 o7 e-12 e-9999 
L-14m-2AC: e32 e-20 e2 o-16 e-9999 
L-34m9ACr: o32 o-22 e4 o32 o-3 
R-29m-6ADr: e32 e24 e13 e35 e-2 
L1m-6ADr: o32 o24 o21 o35 o16 
L-13m-2ADr: e32 e24 o0 e3 e1 
R-27m-5AD: o32 o27 e-19 o-32 e-9 
L18m4ADr: e32 e28 e-40 e-25 e1 
L-33m-5AAr: o32 o47 o32 e4 e-1 
L-33m-13AD: o32 o47 o32 e4 o-8 
L4m-11AB: o32 o52 o9999 o9999 e40 
L4m1AB: o32 o52 o9999 o0 o-24 
L4m11AB: o32 o52 o9999 o0 o-7 
R-32m0AA: o32 o58 o31 e-9999 o3 
L-28m-2AG: o32 o59 o37 e10 o31 
L3m-19ACr: e33 e-9999 o30 e37 e27 
L3m-15AD: e33 e-9999 o30 e37 e32 
L-20m-11AAr: e33 o-9999 e22 e-40 e33 
L-9m-16ABr: o33 o6 o37 o9999 o5 
L-9m4AE: o33 o6 e9 o6 o-10 
L-9m-16AC: o33 o6 e9 o7 o10 
L-9m-5AB: o33 o6 e9 o15 o-12 
L-9m-12ABr: o33 o6 e9 o16 e42 
L-9m-6ADr: o33 o6 e31 o16 o4 
L-9m-7AF: o33 o6 e31 o16 o39 
R-25m7AF: e33 e8 e-3 e0 e10 
L-7m-21AGr: e33 e23 e-22 e-7 e0 
R-11m6AG: o33 o23 o-29 e-30 e-33 
R-11m-4AFr: o33 o23 o-29 e-30 o-42 
R-13m-9AF: o33 o31 o12 o9999 e-5 
R-13m-5AGr: o33 o31 o12 o9999 e29 
R-13m-13AEr: o33 o31 o12 o0 o41 
R-13m-6ADr: o33 o31 o12 o0 o45 
R-13m-3AGr: o33 o31 o12 o1 o15 
R-13m-14ADr: o33 o31 o13 e-44 e58 
R-13m3AEr: o33 o31 o31 o21 e34 
R-13m-14AG: o33 o31 o36 e47 o5 
R-13m-33AAr: o33 o31 o36 e47 o55 
R-13m-8AC: o33 o31 o36 e47 e-2 
R-13m-30AA: o33 o31 o36 e47 o-5 
R-13m-25AAr: o33 o31 o36 e47 e13 
R-13m-22AFr: o33 o31 o36 e47 e14 
R-13m-18ADr: o33 o31 o36 e47 e15 
R-13m-7AAr: o33 o31 e8 o8 o31 
R-13m4ABr: o33 o31 e8 o8 o36 
R-13m14AC: o33 o31 e13 e-33 o-45 
L-5m1AEr: e33 e60 e-9999 o-1 e-9999 
L-20m2AG: e33 e60 e26 e-8 o30 
R-11m4AC: o33 o60 o37 o-6 o-10 
R-11m5ACr: o33 o60 o37 o8 o13 
R-11m12AC: o33 o60 o37 o-40 e46 
R-6m-4AE: o33 e4 o3 o51 o30 
L-27m-18AC: o33 e32 o-8 e-3 o9999 
L-27m-15AF: o33 e32 o-8 o-8 e-47 
L-27m-17ACr: o33 e32 o-8 o18 o-9999 
L-27m-10ADr: o33 e32 o-8 o18 o10 
L-27m-26ABr: o33 e32 o-8 o22 o22 
L-27m-24ABr: o33 e32 o-8 o22 e21 
L-27m-27AD: o33 e32 o-8 o26 o-18 
L-27m-22AE: o33 e32 o-8 o26 o47 
L-27m-40AC: o33 e32 o-8 o26 e-46 
L-27m-8ADr: o33 e32 o-8 o33 o9999 
L-27m-28AA: o33 e32 o-8 o42 o6 
L-27m-20AC: o33 e32 o-8 o53 e-1 
R-28m5ACr: e33 o53 o1 o0 o-2 
R-18m-16AC: e34 e-9999 o-19 e1 o9999 
L-22m7AB: o35 o9999 e-1 e-1 e-1 
L-19m-15AB: e35 e-9999 o11 e-9999 e15 
L-19m-11AGr: e35 e-9999 o11 e-9999 o54 
L-19m2AG: e35 e-9999 o11 e-9999 o57 
L-19m-10ADr: e35 e-9999 o11 e0 e-6 
L-19m-7AAr: e35 e-9999 o11 e-4 e25 
L-19m-5ACr: e35 e-9999 o11 e-6 o-2 
L-19m-12AG: e35 e-9999 o11 e-8 e14 
L-19m-19AD: e35 e-9999 o11 e-8 e16 
L-19m-12ABr: e35 e-9999 o11 e-10 e0 
L-19m-15AD: e35 e-9999 o11 e-14 e24 
L-19m-8AC: e35 e-9999 o11 o-17 o-21 
L-19m-36AFr: e35 e-9999 o11 e-18 e36 
L-19m-11AB: e35 e-9999 o11 e-18 e41 
L-19m-2AA: e35 e-9999 o11 o3 e1 
L-19m-17AAr: e35 e-9999 o11 e-7 e12 
L-19m-5AAr: e35 e-9999 o11 e-7 e15 
L-19m-5AB: e35 e-9999 o11 e-7 e20 
L-19m-4ABr: e35 e-9999 o11 o14 e-4 
L-19m-14AE: e35 e-9999 o11 e-17 e14 
R-1m-12AC: o35 o-9999 e29 o1 o21 
R-1m-5AAr: o35 o-9999 e29 o1 o31 
R-1m-7AEr: o35 o-9999 e29 o1 o32 
R-1m-14AFr: o35 o-9999 e29 o33 o29 
L-7m3ACr: o35 o-9999 e46 e-9 o9999 
L-7m-2ABr: o35 o-9999 e46 o-26 o4 
L-7m-3AAr: o35 o-9999 e49 o3 o0 
L-7m2ADr: o35 o-9999 e49 o-12 e38 
L-7m9ACr: o35 o-9999 e53 o0 o42 
L-7m-16AA: o35 o-9999 e53 e-21 o-9999 
R-19m11AEr: o35 o0 o21 o-22 o1 
R-15m7AB: o35 o0 e30 e4 e40 
L-23m-8ADr: o35 o1 o0 o0 e-1 
R-1m-5AEr: o35 o1 o-2 o57 e34 
L-22m-21AAr: e35 e1 e21 o38 e-58 
L-22m-20ADr: e35 e1 e21 o38 e-60 
L8m6ADr: e35 e1 e-22 e46 e-9999 
R-10m13AB: e35 e1 e46 e-12 e9999 
L-22m-30AFr: o35 o1 e20 o-20 o-19 
L-22m-7AB: o35 o1 e20 o-20 e-30 
R22m16ABr: o35 e-1 e-27 o25 o7 
L4m-3AAr: e35 o-1 e-3 o9 e9999 
R-22m-5AF: o35 o-2 o55 e9999 o23 
R-22m-5AD: o35 o-2 o55 e9999 o25 
R-22m5AAr: o35 o-2 o55 e9999 o-26 
R-22m-4AA: o35 o-2 o55 e9999 o34 
R-22m5AF: o35 o-2 o55 e9999 o-36 
R-22m-13AB: o35 o-2 o55 e9999 o54 
R-22m-2AA: o35 o-2 o55 e9999 o60 
R-22m8ADr: o35 o-2 o55 e-9999 o10 
R-22m-6ABr: o35 o-2 o55 o3 o24 
R-22m2ADr: o35 o-2 o55 e-13 o6 
R-22m1AD: o35 o-2 o55 e-13 e-7 
R-22m0AA: o35 o-2 o55 e-13 e-17 
R-22m2AFr: o35 o-2 o55 e-21 o2 
R-22m-4AC: o35 o-2 o55 e-21 e-35 
R-22m1AF: o35 o-2 o55 e-25 o16 
R-22m-3AAr: o35 o-2 o55 e-25 o23 
R-22m-11ACr: o35 o-2 o55 e-25 e27 
R-22m-20AC: o35 o-2 o55 e-25 e42 
R-22m1AEr: o35 o-2 o55 o55 o11 
R-22m8AG: o35 o-2 o55 o55 o17 
R-22m-2ABr: o35 o-2 o55 o55 o-36 
R-23m-26AE: o35 o-2 e-34 o24 o-12 
R-23m-16ADr: o35 o-2 e-34 o24 o42 
L-4m-6ABr: e35 e-2 o-38 e-21 e-34 
L-4m-11AF: e35 e-2 o-38 e-21 e-60 
L-13m-14ADr: o35 o-2 o-39 e-1 e40 
L-13m-5AEr: o35 o-2 o-39 e-1 e50 
R-16m-9AGr: o35 e-3 o50 o8 o13 
L2m-1ACr: o35 e-3 o-3 o15 e-7 
R-11m-16ABr: o35 e-3 e18 o9999 e-6 
R-11m6AA: o35 e-3 e18 e-22 o-48 
L-13m-11AF: o35 e8 e26 e27 o0 
R-22m-5ACr: o35 e17 o0 o9999 o0 
R-22m7AB: o35 e17 o0 o-9999 e-1 
R-5m15AD: e35 o-38 e10 e1 e-1 
R-5m5AEr: e35 o-38 o-11 e6 e-9999 
R-5m9AF: e35 o-38 o-11 e-22 o-3 
R-5m-4AA: e35 e-39 e-9999 e0 e-17 
R-5m-9AGr: e35 e-39 e-9999 e4 o-11 
R-5m-24AC: e35 e-39 e-9999 e8 e-18 
R-5m-16AC: e35 e-39 e-9999 e8 e-34 
R-5m-4ABr: e35 e-39 o-9999 e-9999 e-32 
R-5m-6AFr: e35 e-39 o-9999 e5 e-32 
R-5m-16ABr: e35 e-39 e0 o-21 o9999 
R-5m7AD: e35 e-39 e-2 o0 e-44 
R-5m1AD: e35 e-39 e4 e-52 o-1 
R-5m-27AGr: e35 e-39 e4 e-9 e26 
R-5m-22AE: e35 e-39 e7 o-1 e-2 
R-5m-14AC: e35 e-39 e7 o18 o-1 
R-5m-13AD: e35 e-39 e8 o-53 o-1 
R-5m-19ACr: e35 e-39 o-15 e9 e9999 
R-5m-21AD: e35 e-39 o-15 e10 o10 
R-5m-29ACr: e35 e-39 o7 e21 e9999 
R-5m-13AF: e35 e-41 e9999 o-4 e2 
R-5m-1AAr: e35 o-42 e9999 e33 e6 
R-5m-8ADr: e35 e-45 e7 o-17 o-18 
R-5m-9AD: e35 e-45 e10 o-56 e24 
R-5m0ABr: e35 o-48 e9999 e0 e1 
R-5m4AE: e35 o-48 e9999 e7 o9999 
R-5m7AAr: e35 o-48 e9999 e8 e-18 
R-2m-6AE: e36 e4 e9999 e5 o-27 
L-18m-4AG: o36 o23 e-37 o4 e15 
L-18m-22ADr: o36 o23 e-37 o9 o8 
R-11m-7AB: e36 e31 o-9999 e7 e3 
L-12m-2AFr: o36 o32 o2 o-2 e11 
L-12m11ACr: o36 o32 o2 e4 o9999 
L-12m21AF: o36 o32 o2 e4 o-26 
L-12m12AG: o36 o32 o2 e13 o9999 
L-12m26AG: o36 o32 e-3 o1 o60 
L-12m-19ACr: o36 o32 e-3 o4 e9999 
L-12m-18AC: o36 o32 e-3 o8 e-41 
L-12m-10AFr: o36 o32 e-5 o32 o22 
L-12m-14AE: o36 o32 e-5 o32 o38 
L-12m-7AGr: o36 o32 e-5 o32 o39 
L-12m-12AFr: o36 o32 e-5 o34 e2 
L-14m13AAr: e36 e46 e36 o9999 e9999 
L-14m5ACr: e36 e46 e36 o9999 o-7 
L-14m7AD: e36 e46 e36 o9999 o-27 
R-14m8ABr: e38 e-9999 e-9999 o13 e-31 
L-9m-1ACr: e38 e-9999 o-1 o0 o-3 
L-2m-15AD: e38 o9999 e0 o-35 o9999 
R-18m-18AA: o38 e0 o-7 o22 o-20 
R-18m-13AAr: o38 e0 o-7 o22 o-24 
R-17m-34ADr: o38 e0 e-18 e31 o-24 
R-24m-25AF: e38 o0 o-34 o0 o8 
L-39m-30AFr: o39 o1 o51 o-46 o43 
m-8BEr: e33 e1 
m5BE: e45 o-55 
m-4BAr: e45 e-2 e-18 
m-10BB: e45 o-3 o9999 
m-13BBr: e45 e5 o-1 
m-9BC: e45 o-5 e9999 
R-15m-9BFr: o45 o11 o13 
m-16BEr: e45 e11 e-16 
m-15BA: e45 e11 e-40 
m-10BD: e45 e14 e9999 
m-15BDr: e45 e-18 e27 
m-8BF: e45 e-24 e-8 
m-17BG: e45 e-28 o14 
m-7BDr: e45 e39 e-2 
m-17BBr: e2 e-9999 o-8 o9999 
m-22BD: e2 e6 e32 e27 
